logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,BD_vs_B1,Diff_Abund,negLog10_sca_adjPval,Genes,ProtDesc,Protein.Names,Protein.Ids
,,,1.0,1.0,,CXL11_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,CXCL11,C-X-C motif chemokine 11,CXL11_HUMAN,O14625
,,,1.0,1.0,,CXL10_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,CXCL10,C-X-C motif chemokine 10,CXL10_HUMAN,P02778
,,,1.0,1.0,,IFI6_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,IFI6,Interferon alpha-inducible protein 6,IFI6_HUMAN,P09912
,,,1.0,1.0,,SHDAG_HDVD3;LHDAG_HDVD3,4,,1.0,1.0,,Non-significant,-0.0,,Small delta antigen;Large delta antigen,SHDAG_HDVD3;LHDAG_HDVD3,P0C6L3;P29996
,,,1.0,1.0,,MX2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,MX2,Interferon-induced GTP-binding protein Mx2,MX2_HUMAN,P20592
,,,1.0,1.0,,S15A3_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,SLC15A3,Solute carrier family 15 member 3,S15A3_HUMAN,Q8IY34
,,,1.0,1.0,,GSDMB_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,GSDMB,Gasdermin-B,GSDMB_HUMAN,Q8TAX9
,,,1.0,1.0,,RSAD2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,RSAD2,S-adenosylmethionine-dependent nucleotide dehydratase RSAD2,RSAD2_HUMAN,Q8WXG1
,,,1.0,1.0,,UBP18_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,USP18,Ubl carboxyl-terminal hydrolase 18,UBP18_HUMAN,Q9UMW8
,,,1.0,1.0,,LAMP3_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,LAMP3,Lysosome-associated membrane glycoprotein 3,LAMP3_HUMAN,Q9UQV4
-1.29296123981476,7.8017303347587585,,0.0006604304425005,0.0052722471265106,,CAST2_HUMAN,8,,0.0006604304425005,0.0052722471265106,1.29296123981476,Down,2.278004241212883,CASTOR2,Cytosolic arginine sensor for mTORC1 subunit 2,CAST2_HUMAN,A6NHX0
-1.1749222278595,10.05721390247346,,1.8266689256864904e-06,0.000103363219018,,TTC36_HUMAN,8,,1.8266689256864904e-06,0.000103363219018,1.1749222278595,Down,3.985633974000732,TTC36,Tetratricopeptide repeat protein 36,TTC36_HUMAN,A6NLP5
2.52184307575226,7.559028804302216,,7.944842964065093e-06,0.0002723851181905,,B3KNS4_HUMAN,8,,7.944842964065093e-06,0.0002723851181905,-2.52184307575226,Up,3.564816623867414,ERVK3-1,Endogenous retrovirus group K3 member 1,B3KNS4_HUMAN,B3KNS4
1.17250418663025,9.480961203575134,,0.0001309980944287,0.0017146939069475,,GTPB1_HUMAN,8,,0.0001309980944287,0.0017146939069475,-1.17250418663025,Up,2.765813395381046,GTPBP1,GTP-binding protein 1,GTPB1_HUMAN,O00178
4.5586953163147,7.90397310256959,,1.0100421928815643e-05,0.0003171133050735,,LEG9_HUMAN,6,,1.0100421928815643e-05,0.0003171133050735,-4.5586953163147,Up,3.498785535964688,LGALS9,Galectin-9,LEG9_HUMAN,O00182
1.14466428756714,9.983317136764528,,6.306791185243938e-07,5.219984542615033e-05,,BT3A3_HUMAN,8,,6.306791185243938e-07,5.219984542615033e-05,-1.14466428756714,Up,4.282330783025887,BTN3A3,Butyrophilin subfamily 3 member A3,BT3A3_HUMAN,O00478
1.34176707267761,8.813117146492006,,1.0181653689652697e-05,0.0003172185183764,,TRI38_HUMAN,8,,1.0181653689652697e-05,0.0003172185183764,-1.34176707267761,Up,3.498641467653404,TRIM38,E3 ubiquitin-protein ligase TRIM38,TRI38_HUMAN,O00635
-1.13406276702881,12.651660442352298,,6.087873736266712e-06,0.000227780992671,,SCD_HUMAN,8,,6.087873736266712e-06,0.000227780992671,1.13406276702881,Down,3.642482518722515,SCD,Stearoyl-CoA desaturase,SCD_HUMAN,O00767
1.19135046005249,10.44004201889038,,4.424737681814571e-05,0.0008373279576163,,PLPP1_HUMAN,8,,4.424737681814571e-05,0.0008373279576163,-1.19135046005249,Up,3.077104407853202,PLPP1,Phospholipid phosphatase 1,PLPP1_HUMAN,O14494
1.33195018768311,9.64577102661134,,2.4950072793676467e-06,0.000125233326429,,TRAD1_HUMAN,8,,2.4950072793676467e-06,0.000125233326429,-1.33195018768311,Up,3.9022800835996416,TRAFD1,TRAF-type zinc finger domain-containing protein 1,TRAD1_HUMAN,O14545
5.10543584823608,13.52544856071474,,3.0215833421801746e-12,8.505275973245155e-09,,IFIT3_HUMAN,8,,3.0215833421801746e-12,8.505275973245155e-09,-5.10543584823608,Up,8.070311590139239,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,IFIT3_HUMAN,O14879
2.96178007125854,13.250623464584343,,5.267519375132301e-10,3.923823069075826e-07,,UB2L6_HUMAN,8,,5.267519375132301e-10,3.923823069075826e-07,-2.96178007125854,Up,6.406290583824311,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,UB2L6_HUMAN,O14933
1.57229137420654,9.211483955383295,,2.1363603096151455e-05,0.0005243266268103,,TRNK1_HUMAN,8,,2.1363603096151455e-05,0.0005243266268103,-1.57229137420654,Up,3.280398087006521,TRANK1,TPR and ankyrin repeat-containing protein 1,TRNK1_HUMAN,O15050
2.70839595794678,11.44655823707581,,3.8402631793769765e-09,1.5733558245907471e-06,,PLS1_HUMAN,8,,3.8402631793769765e-09,1.5733558245907471e-06,-2.70839595794678,Up,5.803173047764068,PLSCR1,Phospholipid scramblase 1,PLS1_HUMAN,O15162
1.34948134422302,10.357278943061823,,2.9622422556807425e-08,8.626297118279812e-06,,TLR3_HUMAN,8,,2.9622422556807425e-08,8.626297118279812e-06,-1.34948134422302,Up,5.06417558739026,TLR3,Toll-like receptor 3,TLR3_HUMAN,O15455
1.36998701095581,14.669762849807736,,2.672500000756867e-06,0.0001288145000364,,TPSN_HUMAN,8,,2.672500000756867e-06,0.0001288145000364,-1.36998701095581,Up,3.89003524775734,TAPBP,Tapasin,TPSN_HUMAN,O15533
-1.10652565956116,11.391159653663625,,1.4905820561881892e-06,8.970164206461134e-05,,FADS1_HUMAN,8,,1.4905820561881892e-06,8.970164206461134e-05,1.10652565956116,Down,4.047199606754433,FADS1,Acyl-CoA (8-3)-desaturase,FADS1_HUMAN,O60427
1.16835081577301,7.04403430223465,,0.0062181995406324,0.0255911235740542,,NRP2_HUMAN,6,,0.0062181995406324,0.0255911235740542,-1.16835081577301,Up,1.591910646066716,NRP2,Neuropilin-2,NRP2_HUMAN,O60462
1.39598977565765,6.900375187397001,,0.0192410794643895,0.0592489309023704,,JAK2_HUMAN,8,,0.0192410794643895,0.0592489309023704,-1.39598977565765,Non-significant,1.2273194817295054,JAK2,Tyrosine-protein kinase JAK2,JAK2_HUMAN,O60674
-1.76239776611328,7.9209265708923375,,0.0001260434098368,0.0016678532021151,,PAGE4_HUMAN,7,,0.0001260434098368,0.0016678532021151,1.76239776611328,Down,2.77784217690987,PAGE4,P antigen family member 4,PAGE4_HUMAN,O60829
2.03336636225383,6.622754017512002,,0.0104626937005562,0.0379006685156311,,CATL2_HUMAN,7,,0.0104626937005562,0.0379006685156311,-2.03336636225383,Up,1.421353129607413,CTSV,Cathepsin L2,CATL2_HUMAN,O60911
1.1811648607254,7.659123361110687,,3.741206629023262e-05,0.0007458746257473,,N4BP1_HUMAN,8,,3.741206629023262e-05,0.0007458746257473,-1.1811648607254,Up,3.127334167060895,N4BP1,NEDD4-binding protein 1,N4BP1_HUMAN,O75113
1.06122362613678,6.085434257984164,,0.0014771071597185,0.0089921367509163,,SEM7A_HUMAN,6,,0.0014771071597185,0.0089921367509163,-1.06122362613678,Up,2.0461370970467243,SEMA7A,Semaphorin-7A,SEM7A_HUMAN,O75326
-1.19092333316803,7.570405423641206,,0.0071926001800481,0.0285405161623799,,P3C2G_HUMAN,8,,0.0071926001800481,0.0285405161623799,1.19092333316803,Down,1.5445381768259163,PIK3C2G,Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma,P3C2G_HUMAN,O75747
-1.09161758422852,9.225793361663818,,0.0001563416259312,0.0019452119107667,,CP7B1_HUMAN,8,,0.0001563416259312,0.0019452119107667,1.09161758422852,Down,2.7110330798583164,CYP7B1,Cytochrome P450 7B1,CP7B1_HUMAN,O75881
2.27169322967529,10.552848815917976,,4.565756040281147e-07,4.300207470582036e-05,,SYUG_HUMAN,8,,4.565756040281147e-07,4.300207470582036e-05,-2.27169322967529,Up,4.366510590663365,SNCG,Gamma-synuclein,SYUG_HUMAN,O76070
1.159996509552,8.191687107086183,,0.0072542493260674,0.0287294920144014,,S22A5_HUMAN,8,,0.0072542493260674,0.0287294920144014,-1.159996509552,Up,1.541672052994921,SLC22A5,Organic cation/carnitine transporter 2,S22A5_HUMAN,O76082
1.4589159488678,11.79173839092255,,5.241952763217014e-08,1.0476234376048831e-05,,APOL3_HUMAN,8,,5.241952763217014e-08,1.0476234376048831e-05,-1.4589159488678,Up,4.979794794030112,APOL3,Apolipoprotein L3,APOL3_HUMAN,O95236
2.96549820899963,13.338399052619923,,1.5293299714845257e-11,2.088554964390701e-08,,RIGI_HUMAN,8,,1.5293299714845257e-11,2.088554964390701e-08,-2.96549820899963,Up,7.68015409094352,RIGI,Antiviral innate immune response receptor RIG-I,RIGI_HUMAN,O95786
1.03341770172119,7.315791368484497,,0.0123852952184904,0.042802660911139,,TSN15_HUMAN,6,,0.0123852952184904,0.042802660911139,-1.03341770172119,Up,1.3685292313816146,TSPAN15,Tetraspanin-15,TSN15_HUMAN,O95858
-1.06523013114929,12.69149124622346,,3.746947066404967e-06,0.0001582602281552,,FADS2_HUMAN,8,,3.746947066404967e-06,0.0001582602281552,1.06523013114929,Down,3.800628212509033,FADS2,Acyl-CoA 6-desaturase,FADS2_HUMAN,O95864
1.33299541473389,8.077119350433353,,0.0121066195929402,0.0422134642317244,,CF047_HUMAN,8,,0.0121066195929402,0.0422134642317244,-1.33299541473389,Up,1.3745490061733028,C6orf47,Uncharacterized protein C6orf47,CF047_HUMAN,O95873
3.45909690856934,11.974442005157474,,5.769222972833206e-07,4.924272191603676e-05,,OAS1_HUMAN,8,,5.769222972833206e-07,4.924272191603676e-05,-3.45909690856934,Up,4.307657949232935,OAS1,2'-5'-oligoadenylate synthase 1,OAS1_HUMAN,P00973
1.06804466247559,8.240309000015257,,0.0038564799021794,0.0180798800488221,,THYG_HUMAN,8,,0.0038564799021794,0.0180798800488221,-1.06804466247559,Up,1.7428044551829711,TG,Thyroglobulin,THYG_HUMAN,P01266
1.02501225471497,8.212077021598814,,0.0120388713883687,0.0420129949558319,,IGJ_HUMAN,8,,0.0120388713883687,0.0420129949558319,-1.02501225471497,Up,1.3766163580614037,JCHAIN,Immunoglobulin J chain,IGJ_HUMAN,P01591
2.94332480430603,13.078548073768626,,6.638998100923741e-10,4.184611572228395e-07,,HLAB_HUMAN,8,,6.638998100923741e-10,4.184611572228395e-07,-2.94332480430603,Up,6.378344848272113,HLA-B,"HLA class I histocompatibility antigen, B alpha chain",HLAB_HUMAN,P01889
1.8997814655304,13.61422455310823,,9.673650097341148e-06,0.0003084275832591,,HLAH_HUMAN,8,,9.673650097341148e-06,0.0003084275832591,-1.8997814655304,Up,3.5108467891114112,HLA-H,"Putative HLA class I histocompatibility antigen, alpha chain H",HLAH_HUMAN,P01893
-1.03810286521912,10.781248450279222,,0.0432000437347108,0.1047591471921339,,APOC2_HUMAN,8,,0.0432000437347108,0.1047591471921339,1.03810286521912,Non-significant,0.9798080456730928,APOC2,Apolipoprotein C-II,APOC2_HUMAN,P02655
3.30154792467753,7.808826247851055,,2.826796764873879e-06,0.0001314569795224,,FETA_HUMAN,7,,2.826796764873879e-06,0.0001314569795224,-3.30154792467753,Up,3.8812163506942032,AFP,Alpha-fetoprotein,FETA_HUMAN,P02771
1.05474972724915,16.517158389091485,,1.1296288943483228e-06,7.614205974042657e-05,,FRIH_HUMAN,8,,1.1296288943483228e-06,7.614205974042657e-05,-1.05474972724915,Up,4.118375379139695,FTH1,Ferritin heavy chain,FRIH_HUMAN,P02794
1.52128148078918,12.879542469978324,,4.889350888872845e-08,1.0015835295856022e-05,,ANXA1_HUMAN,8,,4.889350888872845e-08,1.0015835295856022e-05,-1.52128148078918,Up,4.999312825775919,ANXA1,Annexin A1,ANXA1_HUMAN,P04083
-1.1995313167572,11.57709300518036,,7.463134034160953e-06,0.0002648701507384,,HRG_HUMAN,8,,7.463134034160953e-06,0.0002648701507384,1.1995313167572,Down,3.5769669813026908,HRG,Histidine-rich glycoprotein,HRG_HUMAN,P04196
1.53559994697571,9.906176924705516,,2.9364632796267216e-07,3.1659710675343894e-05,,HG2A_HUMAN,8,,2.9364632796267216e-07,3.1659710675343894e-05,-1.53559994697571,Up,4.499493058288437,CD74,HLA class II histocompatibility antigen gamma chain,HG2A_HUMAN,P04233
1.8020293712616,16.712197422981262,,4.19943428431366e-08,9.604992240326564e-06,,HLAA_HUMAN,8,,4.19943428431366e-08,9.604992240326564e-06,-1.8020293712616,Up,5.017502981659624,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",HLAA_HUMAN,P04439
4.96732521057129,14.964426517486563,,4.151953123380598e-12,8.505275973245155e-09,,ISG15_HUMAN,8,,4.151953123380598e-12,8.505275973245155e-09,-4.96732521057129,Up,8.070311590139239,ISG15,Ubiquitin-like protein ISG15,ISG15_HUMAN,P05161
-1.19378590583801,7.970682978630066,,6.377892268984034e-05,0.0010709108453289,,CHLE_HUMAN,8,,6.377892268984034e-05,0.0010709108453289,1.19378590583801,Down,2.970246683223537,BCHE,Cholinesterase,CHLE_HUMAN,P06276
1.00313127040863,8.47141295671463,,0.0003364684298982,0.0032782667236461,,LAMB1_HUMAN,8,,0.0003364684298982,0.0032782667236461,-1.00313127040863,Up,2.484355714616869,LAMB1,Laminin subunit beta-1,LAMB1_HUMAN,P07942
1.69898784160614,8.9008110165596,,0.0002145945510808,0.0024250037572854,,ASNS_HUMAN,8,,0.0002145945510808,0.0024250037572854,-1.69898784160614,Up,2.6152875841680805,ASNS,Asparagine synthetase [glutamine-hydrolyzing],ASNS_HUMAN,P08243
1.0225944519043,12.780827045440684,,1.5319945082170752e-07,1.848214419129782e-05,,ITA5_HUMAN,8,,1.5319945082170752e-07,1.848214419129782e-05,-1.0225944519043,Up,4.733247645863213,ITGA5,Integrin alpha-5,ITA5_HUMAN,P08648
1.18439078330994,8.539089322090149,,0.0712059444108082,0.1527488464292125,,K1C16_HUMAN,8,,0.0712059444108082,0.1527488464292125,-1.18439078330994,Non-significant,0.8160220608976452,KRT16,"Keratin, type I cytoskeletal 16",K1C16_HUMAN,P08779
-1.00715589523315,10.185352087020874,,0.0039431904119705,0.0183686766547394,,ABHD2_HUMAN,8,,0.0039431904119705,0.0183686766547394,1.00715589523315,Down,1.7359221306972576,ABHD2,Monoacylglycerol lipase ABHD2,ABHD2_HUMAN,P08910
1.02006888389587,13.78880870342254,,1.237570999754284e-05,0.0003545684186009,,CN37_HUMAN,8,,1.237570999754284e-05,0.0003545684186009,-1.02006888389587,Up,3.4502999496097595,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",CN37_HUMAN,P09543
